iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-03-01,173879.0,220.0,166.143,7609.0,11.0,5.714,4364.934,5.523,4.171,191.011,0.276,0.143,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2022-03-02,174073.0,194.0,167.429,7617.0,8.0,6.143,4369.804,4.87,4.203,191.212,0.201,0.154,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2022-03-03,174214.0,141.0,166.714,7619.0,2.0,5.857,4373.343,3.54,4.185,191.262,0.05,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2022-03-04,174214.0,0.0,161.429,7619.0,0.0,5.714,4373.343,0.0,4.052,191.262,0.0,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2022-03-05,174331.0,117.0,169.286,7622.0,3.0,5.286,4376.28,2.937,4.25,191.337,0.075,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-03-01,11241607.0,5203.0,7731.714,248781.0,76.0,193.571,8184.723,3.788,5.629,181.131,0.055,0.141,,,,,,,,,,,,,,,,,,,409200735.0,254605391.0,168068070.0,12139981.0,2422584.0,1853757.0,29.79,18.54,12.24,0.88,1350.0,1039523.0,0.076,,1373486472.0,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2022-03-02,11248343.0,6736.0,7172.0,248905.0,124.0,173.429,8189.628,4.904,5.222,181.221,0.09,0.126,,,,,,,,,,,,,,,,,,,409271954.0,254631510.0,168105131.0,12148020.0,2396631.0,1851400.0,29.8,18.54,12.24,0.88,1348.0,1036719.0,0.075,,1373486472.0,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2022-03-03,11258441.0,10098.0,7260.714,249032.0,127.0,166.286,8196.98,7.352,5.286,181.314,0.092,0.121,,,,,,,,,,,,,,,,,,,409371219.0,254638149.0,168147693.0,12151238.0,2396166.0,1855141.0,29.81,18.54,12.24,0.88,1351.0,1036378.0,0.075,,1373486472.0,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2022-03-04,11261308.0,6851.0,6857.143,249106.0,74.0,145.571,8199.067,4.988,4.993,181.368,0.054,0.106,,,,,,,,,,,,,,,,,,,409380727.0,254640120.0,168149820.0,13023688.0,2395301.0,1857103.0,29.81,18.54,12.24,0.95,1352.0,1036146.0,0.075,,1373486472.0,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2022-03-05,11268386.0,7078.0,6926.286,249206.0,100.0,137.286,8204.221,5.153,5.043,181.44,0.073,0.1,,,,,,,,,,,,,,,,,,,409436445.0,254640120.0,168179398.0,13023688.0,2395301.0,1859365.0,29.81,18.54,12.24,0.95,1354.0,1036146.0,0.075,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-03-01,271702.0,139.0,178.143,3472.0,3.0,3.0,94573.004,48.383,62.007,1208.521,1.044,1.044,0.54,,,,,,,,,,,,,265.0,0.092,0.6722,1.5,tests performed,2708574.0,1270745.0,1198759.0,239070.0,,2779.0,94.28,44.23,41.73,8.32,967.0,533.0,0.019,46.3,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
ALB,Europe,Albania,2022-03-02,271825.0,123.0,155.857,3474.0,2.0,3.0,94615.818,42.813,54.25,1209.217,0.696,1.044,0.53,,,,,,,,,,,,,277.0,0.096,0.5627,1.8,tests performed,,,,,,,,,,,,,,46.3,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
ALB,Europe,Albania,2022-03-03,271825.0,0.0,125.429,3474.0,0.0,2.429,94615.818,0.0,43.659,1209.217,0.0,0.845,,,,,,,,,,1289.0,1590013.0,553.446,0.449,288.0,0.1,,,tests performed,,,,,,,,,,,,,,35.19,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
ALB,Europe,Albania,2022-03-04,272030.0,205.0,127.0,3478.0,4.0,2.857,94687.173,71.356,44.206,1210.609,1.392,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
ALB,Europe,Albania,2022-03-05,272030.0,,,3478.0,0.0,2.857,94687.173,,,1210.609,0.0,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-03-01,265010.0,74.0,92.143,6840.0,5.0,4.0,5939.714,1.659,2.065,153.306,0.112,0.09,0.35,13.0,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
DZA,Africa,Algeria,2022-03-02,265079.0,69.0,84.429,6843.0,3.0,3.857,5941.261,1.547,1.892,153.373,0.067,0.086,0.34,13.0,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
DZA,Africa,Algeria,2022-03-03,265130.0,51.0,75.286,6848.0,5.0,4.0,5942.404,1.143,1.687,153.485,0.112,0.09,,15.0,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
DZA,Africa,Algeria,2022-03-04,265186.0,56.0,68.571,6852.0,4.0,4.143,5943.659,1.255,1.537,153.575,0.09,0.093,,11.0,0.247,,,,,,,,,,,,,,,,,,,436274.0,,,,,,0.98,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
DZA,Africa,Algeria,2022-03-05,265227.0,41.0,64.143,6853.0,1.0,3.571,5944.578,0.919,1.438,153.597,0.022,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
